[2025-06-20 00:39:37,975: INFO: main: Welcome to my log]
[2025-06-25 23:18:23,303: INFO: common: yaml file : config\config.yaml loaded succesfully]
[2025-06-25 23:18:23,316: INFO: common: yaml file : params.yaml loaded succesfully]
[2025-06-25 23:18:23,318: INFO: common: created directory at: artifacts]
[2025-06-25 23:28:22,752: INFO: common: yaml file : config\config.yaml loaded succesfully]
[2025-06-25 23:28:22,757: INFO: common: yaml file : params.yaml loaded succesfully]
[2025-06-25 23:28:22,758: INFO: common: created directory at: artifacts]
[2025-06-25 23:28:22,759: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-25 23:28:22,762: INFO: 2077136416: Downloading the dataset from https://drive.google.com/file/d/1kmrF8EWe8l3mHAkZoWujvA2paXeUiDxR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-25 23:29:09,849: INFO: 2077136416: Downloaded the dataset from https://drive.google.com/file/d/1kmrF8EWe8l3mHAkZoWujvA2paXeUiDxR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-25 23:39:32,169: INFO: common: yaml file : config\config.yaml loaded succesfully]
[2025-06-25 23:39:32,171: INFO: common: yaml file : params.yaml loaded succesfully]
[2025-06-25 23:39:32,172: INFO: common: created directory at: artifacts]
[2025-06-25 23:39:32,172: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-25 23:39:32,173: INFO: 3569028624: Downloading data from https://drive.google.com/file/d/1kmrF8EWe8l3mHAkZoWujvA2paXeUiDxR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-25 23:40:20,972: INFO: 3569028624: Downloaded data from https://drive.google.com/file/d/1kmrF8EWe8l3mHAkZoWujvA2paXeUiDxR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-25 23:44:47,482: INFO: common: yaml file : config\config.yaml loaded succesfully]
[2025-06-25 23:44:47,483: INFO: common: yaml file : params.yaml loaded succesfully]
[2025-06-25 23:44:47,484: INFO: common: created directory at: artifacts]
[2025-06-25 23:44:47,485: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-25 23:44:47,486: INFO: 3569028624: Downloading data from https://drive.google.com/file/d/1kmrF8EWe8l3mHAkZoWujvA2paXeUiDxR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-25 23:45:35,519: INFO: 3569028624: Downloaded data from https://drive.google.com/file/d/1kmrF8EWe8l3mHAkZoWujvA2paXeUiDxR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-25 23:48:40,488: INFO: common: yaml file : config\config.yaml loaded succesfully]
[2025-06-25 23:48:40,489: INFO: common: yaml file : params.yaml loaded succesfully]
[2025-06-25 23:48:40,492: INFO: common: created directory at: artifacts]
[2025-06-25 23:48:40,492: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-25 23:48:40,493: INFO: 3569028624: Downloading data from https://drive.google.com/file/d/1kmrF8EWe8l3mHAkZoWujvA2paXeUiDxR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-25 23:49:27,215: INFO: 3569028624: Downloaded data from https://drive.google.com/file/d/1kmrF8EWe8l3mHAkZoWujvA2paXeUiDxR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-22 23:52:36,500: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2025-07-22 23:52:36,538: INFO: common: yaml file : config\config.yaml loaded succesfully]
[2025-07-22 23:52:36,548: INFO: common: yaml file : params.yaml loaded succesfully]
[2025-07-22 23:52:36,549: INFO: common: created directory at: artifacts]
[2025-07-22 23:52:36,549: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-22 23:52:36,550: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1kmrF8EWe8l3mHAkZoWujvA2paXeUiDxR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-22 23:53:32,606: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1kmrF8EWe8l3mHAkZoWujvA2paXeUiDxR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-22 23:53:34,562: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<<

x========x]
